COD_DEP;DESC_DEP;COD_DIS;DESC_DIS;COD_CIU;DESC_CIU
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
1;CAPITAL;1;ASUNCION (DISTRITO);1;ASUNCION (DISTRITO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);3;CONCEPCION (MUNICIPIO)
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);4;ABASTO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);5;AGUA FRIA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6;AGUARA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);7;AGUERO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);8;ALBASTI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);9;ALBERTO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);10;ANEGADIZO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);11;AQUIDABAN
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);12;AQUINO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);13;ARCE CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);14;ARMANDIA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);15;ARRECIFE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);16;ARROYITO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);17;BARRERO CUA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);18;BARRERO SAY-YU
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);19;BARRIO INMACULADA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);20;BARRIO NORTE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);21;BARRIO SAN ANTONIO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);22;BELLA LOMA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);23;BELEN
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);24;BLAS CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);25;BOGADO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);26;BOQUERON
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);27;C.EPOPEYA NACIONAL
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);28;C.EMIL. ROMERO PEREIRA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);29;C. JORGE MIRANDA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);30;C.RECONSTRUCCION
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);31;C.N.GONZALEZ
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);32;CABO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);33;CAMBA CUA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);34;CAMPO HERMOSO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);35;CAMPOS RAFAEL
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);36;CANCHA CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);37;CAPILLA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);38;CAPILLA LORETO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);39;CARRETA PASO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);40;CAZAL BOQUERON
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);41;CAZAL CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);42;CAÑETE CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);43;COL.CNEL MONGELOS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);44;COL.COE PORA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);45;COL.E.R. PEREIRA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);46;COL.EXCOMBATIENTES
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);47;COL.F.C.C. NORTE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);48;COL.FERNANDO DE LA MORA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);49;COL. GRAL.DIAZ
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);50;COL. HERNANDARIAS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);51;COL. JUGADILLA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);52;COL. MARIA AUXILIADORA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);53;COL. PORA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);54;COL. SAN CARLOS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);55;COL. SARGENTO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);56;COL. YBAGOTY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);57;COL. ZONA OLEROS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);58;COSTA DE SEDA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);59;COE PORA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);60;CUENCA CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);61;CUETO POTRERO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);62;CURUZU ÑU
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);63;CURUÑI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);64;CANDIDO SILVA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);65;DIEGO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);66;DUARTE CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);67;ECHAGUE CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);68;ESTABLECIMIENTO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);69;ESTRIBO DE PALTA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);70;F. DE PINEDO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);71;FERROCARRIL C. NORTE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);72;FUERTE RISSO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);73;GAONA CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);74;GARAY CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);75;GRAL. DIAZ
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);76;HEROES DEL CHACO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);77;INMACULADA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);78;ISLA NOVILLO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);79;ISLA R.
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);80;ISLA REAL
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);81;ISLA VALDEZ
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);82;ISLA YBATE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);83;ITA PUCU MI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);84;ITACURUBI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);85;JARDIN EUROPA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);86;JHUGUA CANTERO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);87;JHUGUA CHOJA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);88;JHUGUA CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);89;JHUGUA GUAZU
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);90;JHUGUA RIVAS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);91;JHUGUA TIMBO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);92;JHUGUA TORALES
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);93;LA CANELA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);94;LA CONCHA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);95;LABITA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);96;LAGUNA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);97;LAGUNA ÑARO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);98;LLANO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);99;LOMA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);100;LOMA PYTA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);101;MALDONADO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);102;MANCUELLO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);103;MBATOVI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);104;MBOCAYATY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);105;MBOREBI YCUA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);106;MONTAÑAS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);107;OCAMPOS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);108;OJEDA CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);109;PASO BARRETO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);110;PASO URUNDEY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);111;PASO ITA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);112;PEGUAJHO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);113;PEGUAJHO MI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);114;PEROY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);115;PICADA GUY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);116;PLANAS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);117;POTRERITO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);118;POTRERO ESTRELLA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);119;POTRERO ROMERO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);120;PROSPERIDAD
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);121;PUENTE CAÑON
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);122;PUERTO ABENTE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);123;PUERTO DOS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);124;QUINTA ALICELICA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);125;REQUEJO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);126;RINCON
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);127;RINCON CIERVO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);128;RINCON CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);129;RINCON ZARZA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);130;RINCON DE LUNA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);131;RIVAS CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);132;ROJAS MI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);133;ROSALIA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);134;RURAL
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);135;S. ISABEL
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);136;SAGRADA FAMILIA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);137;SALADERO RISSO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);138;SALEITA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);139;SALINARES
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);140;SALINARES CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);141;SAN ANTONIO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);142;SAN LORENZO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);143;SAN MIGUEL
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);144;SAN NICOLAS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);145;SAN RAFAEL
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);146;SAN SALVADOR
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);147;SANCHEZ CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);148;SANTA CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);149;SANTA MARIA DE LA S.
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);150;SIERVO POTRERO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);934;SOLALINDE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);935;STA. TOMASA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);936;BUBURBANA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);937;TABATINGA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);938;TACUATI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);939;TAGATIVO MI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);940;TATAYYUA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);941;TAYATY MI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);942;TEODORO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);943;TOLDO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);944;TOLEDO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);945;TORALES
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);946;TRANQUERA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);947;TRES ALTAS
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);948;VILLA ARMANDO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);949;VILLA FERNANDO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);950;VILLA LOMA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);951;VILLA NUEVA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);952;YAGUARETE POTRERO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);953;YAPEPO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);954;YBACUMI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);955;IBAÑEZ ÑU
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);956;YBYRATY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);957;YCUA CARANDA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);958;YCUA GUAZU
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);959;YCUA PORA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);960;YPANE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);961;YPANE CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);962;YPANE JHU
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);963;YUIY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);964;YUTY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);965;ZANJA CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);966;ZAPATERO CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);967;ÑU APUA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);968;ÑUMI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6154;PINDURA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6155;POTRERO FRENTE Y OTRO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6156;RECALDE CUE
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6157;RINCON LOMA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6158;ROMERO PATIÑO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6159;SALADILLO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6160;SAN ANTONIO DE LA SIERRA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6161;SANJITA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6216;VILLA SANA
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6217;YBYRAIPETY
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6218;YGATIGO
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6219;YUQUERI
2;CONCEPCION;2;CONCEPCION (MUNICIPIO);6220;ÑA VENTURA CUE
2;CONCEPCION;3;SAN LAZARO;969;SAN LAZARO
2;CONCEPCION;3;SAN LAZARO;970;COL. SAN LAZARO
2;CONCEPCION;3;SAN LAZARO;971;CONFLUENCIA
2;CONCEPCION;3;SAN LAZARO;972;PUERTO RISSO
2;CONCEPCION;3;SAN LAZARO;973;SALADERO R.
2;CONCEPCION;3;SAN LAZARO;974;VALLE MI
2;CONCEPCION;3;SAN LAZARO;6221;LOMA SAN MIGUEL
2;CONCEPCION;4;SAN CARLOS;975;SAN CARLOS
2;CONCEPCION;4;SAN CARLOS;976;ARRECIFE
2;CONCEPCION;4;SAN CARLOS;977;CERRO PAIVA
2;CONCEPCION;4;SAN CARLOS;978;CONCEPCION
2;CONCEPCION;4;SAN CARLOS;979;GAONA CUE
2;CONCEPCION;4;SAN CARLOS;980;INVERNADA VIEJO
2;CONCEPCION;4;SAN CARLOS;981;OJEDA CUE
2;CONCEPCION;4;SAN CARLOS;982;PONCIERRE
2;CONCEPCION;4;SAN CARLOS;983;POTRERO
2;CONCEPCION;4;SAN CARLOS;984;POTRERO ESTRELLA
2;CONCEPCION;4;SAN CARLOS;985;PUERTO MAX Y OTRO
2;CONCEPCION;4;SAN CARLOS;986;RECALDE CUE
2;CONCEPCION;4;SAN CARLOS;987;SAN BLAS
2;CONCEPCION;4;SAN CARLOS;988;SAN CARLOS
2;CONCEPCION;4;SAN CARLOS;989;SAN FERNANDO
2;CONCEPCION;4;SAN CARLOS;990;SANTA ROSA
2;CONCEPCION;4;SAN CARLOS;991;VILLAMAYOR CUE
2;CONCEPCION;4;SAN CARLOS;992;UGARTE CUE
2;CONCEPCION;4;SAN CARLOS;993;URAN CUE Y OTRO
2;CONCEPCION;4;SAN CARLOS;6222;CABALLERO CUE
2;CONCEPCION;4;SAN CARLOS;6223;LOMA PORA
2;CONCEPCION;4;SAN CARLOS;6224;POTRERO MBAREGUI
2;CONCEPCION;4;SAN CARLOS;6225;SAN RAFAEL
2;CONCEPCION;4;SAN CARLOS;6226;ÑU PYHAJHU
2;CONCEPCION;5;BELEN;994;BELEN
2;CONCEPCION;5;BELEN;994;BELEN
2;CONCEPCION;5;BELEN;994;BELEN
2;CONCEPCION;5;BELEN;994;BELEN
2;CONCEPCION;5;BELEN;995;BELEN COSTA
2;CONCEPCION;5;BELEN;996;COL.E.R.GONZALEZ
2;CONCEPCION;5;BELEN;997;E.R.PEREIRA
2;CONCEPCION;5;BELEN;998;COL.GRAL.DIAZ
2;CONCEPCION;5;BELEN;999;CULI LOMA
2;CONCEPCION;5;BELEN;1000;FDO.DE LA MORA
2;CONCEPCION;5;BELEN;1001;FERROCARRIL NORTE
2;CONCEPCION;5;BELEN;1002;ITA CORA
2;CONCEPCION;5;BELEN;1003;LEMO
2;CONCEPCION;5;BELEN;1004;LOMA PYTA
2;CONCEPCION;5;BELEN;1005;PASO URUNDEY
2;CONCEPCION;5;BELEN;1006;PEGUAJHO LOMA
2;CONCEPCION;5;BELEN;1007;PEGUAJHO MI
2;CONCEPCION;5;BELEN;1008;REQUEJO
2;CONCEPCION;5;BELEN;1009;TORALES CUE
2;CONCEPCION;5;BELEN;1010;TORRES CUE
2;CONCEPCION;5;BELEN;1011;TORIN CUE
